Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
163.4696613433,158.3480768257,139.8571385597,1.1322130458,0.9686695104,0.8555540974,-42,3,-140,0.9507214288,0.9466165561,0.8937670242
146.7726066226,130.9876062905,116.4298872262,1.1250342108,0.8924526811,0.7932671491,-19559,-79080,-1084295,0.9531060167,0.9797730375,0.9202978937
162.8020132237,160.8852572967,144.8998992821,1.1103200078,0.9882264605,0.890037515,-1118710,-1118700,-1509355,0.978038924,0.9617464493,0.9519337306
141.1813265699,138.0799884537,115.5744599831,1.1947275244,0.9780329439,0.818624267,-73,12,34,0.9534114151,0.9150241268,0.8923258803
143.8962062378,140.5596112851,125.9579021549,1.1159253122,0.9768124884,0.8753385892,-6894,-3885,-187892,0.936835937,0.9654369962,0.9045771963
131.8024054432,140.5208944841,107.9838864516,1.3013135487,1.0661481785,0.8192861586,-1647973,-1657517,-1789560,0.9876466453,0.8790495834,0.8997821433
142.481820395,119.0991838678,98.5166226447,1.2089247547,0.8358903861,0.6914329307,-338,-6,-1931,0.9200537504,0.9228362044,0.8883195082
147.1773973884,137.8298528371,123.5246048709,1.1158088948,0.936487907,0.8392905912,-1368857,-1318937,-1600211,0.9382132465,0.9620340105,0.929438368
168.72315236,155.5300539442,146.6330571851,1.0606752456,0.9218062357,0.8690749025,829,-1,-17,0.9610984625,0.9856245513,0.9200407972
141.1178540759,131.3892777111,119.858842068,1.0962001254,0.9310606271,0.8493527828,-155377,-183041,-1568500,0.9208444072,0.9678547222,0.8778981403
153.5839835531,140.4600872253,131.145816484,1.0710222483,0.9145490563,0.8539029491,-13113,-2,-1450,0.8820863365,0.9789288632,0.8337103285
119.0104931873,117.1229318886,112.4640095027,1.0414258962,0.9841395389,0.9449923825,-1198522,-768567,-510558,0.9853956068,0.9912839205,0.9730232914
138.3060212272,126.8459017005,115.9316430086,1.0941439145,0.9171394027,0.8382255666,-297,-174,-266,0.9489909965,0.9798778745,0.9158602199
146.0975746335,136.562316219,116.6423713303,1.1707779485,0.9347336296,0.7983867742,-1681,-7504,-79217,0.9368115366,0.9622588067,0.8982799925
