Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
115.4942766,118.6899801,107.0216972,1.109027264,1.0276698,0.926640699,20554,16016,19812,0.986202345,0.982513435,0.970419813
125.0362865,126.017584,126.6405654,0.995080712,1.007848102,1.012830507,-1097190,-1068678,-753861,0.992517103,0.984211099,0.974200325
109.1583995,106.3712913,104.290264,1.019954185,0.974467304,0.955403015,157,641,-3146,0.944635534,0.975874516,0.884661296
104.9881632,106.8603802,103.3613136,1.033852768,1.017832648,0.984504447,-960504,-906289,-1375190,0.965784094,0.956337681,0.969469377
113.079897,110.401673,112.3524217,0.982637235,0.976315649,0.993566715,36,116,26,0.950212772,0.989004588,0.941654474
125.4269639,129.7301517,127.1710962,1.020122934,1.034308315,1.013905561,1449,493,8239,0.988744159,0.982181012,0.979566528
136.1495396,122.2566935,100.441849,1.217188799,0.89795892,0.73773183,-156378,-344669,-784315,0.946669743,0.925670845,0.905092182
130.7669007,126.7848534,95.81575638,1.323215076,0.969548507,0.732721781,-10093,-589,-66540,0.972090676,0.883798148,0.870338664
120.3602,114.8913953,88.38595458,1.299882949,0.954563014,0.734345361,-4835,-3451,-8835,0.962523423,0.925942953,0.899771592
148.1648884,134.7101723,123.9902051,1.086458178,0.909190928,0.836839324,35,25,7142,0.963774562,0.983068676,0.956790707
146.3301067,137.7874205,101.1332953,1.362433806,0.941620447,0.691131153,-37491,-40278,-54758,0.951508742,0.929113329,0.890681131
145.5147786,141.721875,121.3812706,1.167576137,0.973934582,0.834150811,-51,-59,-2858,0.979198738,0.964830858,0.95017387
157.042332,139.6949968,125.2506483,1.115323543,0.889537203,0.797559783,-1688,-752,-2843,0.956425803,0.985090997,0.933477543
136.585795,128.7726889,120.3515876,1.069970837,0.942797081,0.881142783,39,151,984,0.977893026,0.987877534,0.957914949
147.6322786,136.2703105,128.0197839,1.064447278,0.923038727,0.867153072,0,0,70,0.965934097,0.988333364,0.945355831
137.4841422,120.9524452,110.1438249,1.098131876,0.879755608,0.801138394,0,0,89,0.951056621,0.981685604,0.923314434
136.758486,127.5993936,115.7166516,1.102688264,0.933027246,0.846138729,0,6,817,0.970945733,0.979621356,0.951621842
165.2992086,156.0252785,136.2780284,1.144904137,0.943896101,0.824432431,0,0,502,0.958103782,0.943672538,0.88803257
142.4451983,122.9159308,106.7488184,1.151450037,0.862899784,0.749402715,-3995,-7372,706,0.954795522,0.977987263,0.921901573
127.2865214,121.0926286,107.4939715,1.12650623,0.951338974,0.844503961,-172,-106,504,0.980780221,0.976026909,0.954818989
125.9104424,117.9297913,94.87206485,1.243040208,0.936616448,0.753488456,24,7,1733,0.962312875,0.923951165,0.887790334
117.4381065,108.8161499,94.69294721,1.149147356,0.926582974,0.806322156,466,5,-23073,0.956338825,0.972013104,0.924375051
105.9360784,113.2170269,74.23892521,1.52503591,1.068729639,0.700789819,-30675,-31468,-206420,0.992202968,0.877472203,0.894083898
123.0199467,99.95483189,81.68756617,1.223623577,0.812509146,0.664018871,57,55,21080,0.939590133,0.926144224,0.896829639
129.7836927,118.0280047,105.7924017,1.115656727,0.909420916,0.815144025,-10636,-8661,-2003,0.955730959,0.967390087,0.940478386
152.9651829,139.1651322,132.3843469,1.051220445,0.90978306,0.865454115,0,0,2,0.963319865,0.988263282,0.930039589
142.0581044,125.3830748,110.4544622,1.135156265,0.882618245,0.777530171,-17584,-10856,-7243,0.929036833,0.963940085,0.864921255
129.3074221,120.1937309,115.6468077,1.039317326,0.929519195,0.894355527,-10,25,263,0.913121625,0.983142576,0.872821238
129.9804615,124.5598132,121.7392624,1.023168785,0.958296437,0.936596631,-113330,-36965,5938,0.980696277,0.985873792,0.962428896
127.2431193,119.5127629,112.7571163,1.059913262,0.939247353,0.886154921,-1,3,321,0.956193422,0.976097501,0.921567367
112.541858,109.8628089,103.7799302,1.058613247,0.976195088,0.922145165,-2,1,-902,0.970347356,0.977223402,0.94939444
146.7554472,135.8599032,128.4420752,1.057752321,0.92575714,0.875211637,0,8,11,0.970618522,0.991318725,0.951581663
