f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
154.65,153.48,151.18,1.0306,0.98493,0.95566,155.65,154.48,152.18,0.54317,0.62583,0.55046
155.33,153.9,151.5,1.0319,0.98169,0.95131,156.33,154.9,152.5,0.5081,0.58573,0.55145
123.82,65.169,28.977,5.1037,0.28101,0.055418,124.82,66.169,29.977,0.41582,0.63227,0.47535
121.59,61.049,28.649,4.6992,0.25914,0.057547,122.59,62.049,29.657,0.54445,0.7355,0.55037
120.53,62.985,28.555,4.8708,0.27561,0.056554,121.53,63.985,29.555,0.42048,0.56659,0.37774
112.33,61.125,27.994,4.8453,0.30072,0.063369,113.33,62.125,28.997,0.45117,0.72792,0.49276
179.36,182.03,174.02,1.1146,1.0275,0.9364,180.36,183.03,175.02,0.87805,0.90837,0.86738
133.37,86.67,60.56,2.5134,0.41165,0.21216,134.37,87.67,61.561,0.60537,0.56112,0.56106
176.29,179.99,174.06,1.0874,1.0397,0.96897,177.29,180.99,175.06,0.87378,0.918,0.86293
135.66,92.188,67.185,2.2104,0.45224,0.25042,136.66,93.188,68.185,0.89229,0.9203,0.86322
90.364,114.78,17.208,48.018,1.7467,0.037547,91.364,115.78,18.311,0.67998,0.35916,0.35112
116.98,118.08,90.234,3.3579,1.0326,0.62605,117.98,119.08,91.247,0.83274,0.53036,0.62282
84.234,108.31,15.773,50.495,1.8113,0.036607,85.234,109.31,16.908,0.69835,0.38813,0.33439
110.19,115.8,84.854,4.6576,1.1104,0.63029,111.19,116.8,85.885,0.78982,0.50631,0.57318
121.56,118.99,93.395,1.9197,0.96348,0.59388,122.56,119.99,94.44,0.94766,0.9105,0.90883
49.142,43.15,27.933,2.8222,0.77431,0.33616,50.142,44.155,28.94,0.92652,0.78441,0.79894
185.24,180.01,153.68,4.6909,0.94459,0.71141,186.24,181.01,157.37,0.95512,0.8591,0.89015
177.72,176.39,148.65,25.221,0.98419,0.73102,178.72,177.39,152.48,0.96412,0.87575,0.90755
58.873,62.416,42.357,4.2779,1.1474,0.55592,59.885,63.418,43.398,0.86943,0.70218,0.74955
69.541,73.459,42.403,10.205,1.1834,0.42111,70.541,74.459,43.447,0.87326,0.63116,0.73515
25.959,26.914,22.835,1.4954,1.1051,0.77084,27.007,27.922,23.934,0.90805,0.88151,0.86971
59.502,61.558,37.092,7.4851,1.1281,0.43536,60.502,62.558,38.121,0.90707,0.73163,0.7786
101.32,95.132,45.435,15.02,0.89736,0.21888,102.32,96.132,47.744,0.8682,0.47279,0.56984
87.872,113.61,18.048,42.768,1.8239,0.043118,88.872,114.61,19.16,0.68391,0.36728,0.33682
114.44,116.13,91.991,2.3153,1.0451,0.66567,115.44,117.13,93.003,0.8456,0.55713,0.64773
81.794,107.28,17.103,42.872,1.8721,0.044311,82.794,108.28,18.259,0.66342,0.38112,0.38643
104.7,110.76,83.843,2.9187,1.123,0.67052,105.7,111.76,84.843,0.82077,0.48674,0.5754
109.76,127.64,105.94,1.4792,1.3565,0.93245,110.76,128.64,106.94,0.70961,0.72448,0.6904
97.598,61.326,45.957,2.9117,0.38906,0.24736,98.598,62.326,47.001,0.56377,0.54012,0.5348
104.38,121.7,99.173,1.5356,1.3628,0.90349,105.38,122.7,100.17,0.64963,0.67923,0.66854
111.49,85.505,71.198,1.5687,0.5839,0.41576,112.49,86.505,72.216,0.88659,0.9604,0.86427
116.53,45.135,25.275,3.8759,0.15193,0.049405,117.53,46.135,26.314,0.42279,0.44304,0.44223
121.81,52.534,41.309,1.8188,0.19745,0.12674,122.81,53.534,42.311,0.47291,0.46282,0.4847
119.35,43.515,25.016,3.547,0.13348,0.045745,120.35,44.515,26.035,0.35128,0.3964,0.38082
124.71,50.644,39.505,1.7425,0.17369,0.10757,125.71,51.644,40.506,0.52061,0.50344,0.51504
33.857,33.635,34.493,0.99671,0.9872,0.99623,34.814,34.582,35.391,0.86261,0.84875,0.83373
15.536,15.511,15.515,1.0518,1.0165,0.9694,16.535,16.489,16.459,0.85088,0.82154,0.81036
19.556,19.315,18.656,1.0685,0.97355,0.91231,20.556,20.316,19.656,0.89813,0.86846,0.84842
7.9508,7.9145,7.7087,1.0512,0.98299,0.93513,8.9523,8.9193,8.7134,0.85865,0.81891,0.78654
48.876,57.032,58.632,0.93469,1.375,1.484,49.94,58.027,59.658,0.71149,0.75975,0.72477
40.941,47.475,48.638,0.94458,1.3534,1.4437,41.988,48.461,49.697,0.74649,0.78868,0.73288
73.511,84.69,92.88,0.83177,1.3368,1.6073,74.527,85.631,93.846,0.96753,0.96787,0.95873
41.154,49.463,54.052,0.83793,1.4448,1.7249,42.158,50.431,55.034,0.9511,0.96443,0.93698
122.92,123.99,125.25,0.97637,1.0503,1.0817,123.91,124.99,126.25,0.78276,0.82588,0.79327
110.8,111.73,112.57,0.99723,1.0492,1.0615,111.78,112.71,113.56,0.81091,0.83,0.80321
68.668,67.234,65.71,1.0466,0.95768,0.91547,69.606,68.23,66.683,0.95126,0.96437,0.94336
48.64,48.76,46.775,1.0878,1.0108,0.92946,49.527,49.755,47.734,0.95602,0.96623,0.9377
66.306,112.03,53.352,4.4136,2.857,0.64841,67.306,113.03,54.352,0.42919,0.52816,0.46831
83.321,125.24,70.314,3.4582,2.3752,0.70236,84.321,126.24,71.314,0.70805,0.76349,0.70712
63.853,109.7,52.758,4.3284,2.9528,0.68272,64.853,110.7,53.758,0.40948,0.56192,0.47115
81.701,124.34,70.622,3.3911,2.4551,0.73839,82.701,125.34,71.622,0.72663,0.74662,0.69803
148.5,187.68,73.625,6.7882,1.6133,0.25106,149.56,185.89,78.603,0.93501,0.68858,0.7307
136.26,174.74,75.187,5.9677,1.6908,0.30325,137.26,175.73,76.226,0.91366,0.76733,0.80238
151.29,190.99,73.453,7.2286,1.5978,0.23565,152.88,185.26,87.52,0.9454,0.84368,0.85021
170.86,208.69,99.696,4.391,1.492,0.34044,171.86,209.67,100.94,0.80887,0.5973,0.6409
96.313,132.95,62.692,5.5312,1.9666,0.45054,97.313,133.95,63.692,0.8144,0.62205,0.70186
71.066,105.05,46.912,7.5008,2.3206,0.46901,72.066,106.05,47.912,0.8244,0.7523,0.76569
124.82,166.57,68.856,5.8646,1.7817,0.30429,125.82,167.57,69.856,0.84487,0.66824,0.6907
107.35,149.33,54.3,7.7234,1.9403,0.25492,108.35,150.33,55.3,0.90351,0.79633,0.79071
76.906,107.5,68.993,2.4712,1.9603,0.80425,77.906,108.5,69.993,0.62611,0.69459,0.65191
56.124,86.191,52.859,2.9851,3.2476,1.035,57.124,87.191,53.859,0.62511,0.66832,0.65553
73.478,103.64,69.92,2.199,1.9909,0.90808,74.478,104.64,70.92,0.5295,0.60335,0.58448
55.051,81.751,54.873,2.7047,3.4195,1.168,56.053,82.751,55.873,0.51299,0.60198,0.64357
52.949,85.165,43.687,4.2021,3.3289,0.77083,53.95,86.165,44.687,0.65719,0.68086,0.64638
32.13,69.234,29.97,5.2484,5.1323,1.0197,33.131,70.234,30.97,0.39702,0.45879,0.4254
52.247,83.007,45.627,3.5417,3.1765,0.86754,53.247,84.007,46.627,0.62366,0.6725,0.59858
28.425,63.74,29.09,4.7348,5.3016,1.1473,29.425,64.74,30.09,0.34968,0.42247,0.41542
81.697,100.73,93.914,1.1674,1.5746,1.3454,82.7,101.73,94.914,0.94531,0.95495,0.94484
133.63,155.41,121.59,1.7233,1.3588,0.86879,134.63,156.41,122.59,0.89727,-0.040366,-0.067869
68.334,86.358,80.322,1.1805,1.6699,1.4107,69.335,87.358,81.322,0.9239,0.93811,0.92078
129.04,149.95,132.88,1.2789,1.3511,1.0685,130.04,150.95,133.88,0.77205,0.28786,0.25438
119.72,140.2,95.758,2.9909,1.4044,0.88051,120.72,141.19,96.768,0.97725,0.33117,0.32521
140.56,164.32,101.41,3.8764,1.386,0.63338,141.68,165.28,102.41,0.96543,-0.13188,-0.15239
117.84,139.36,116.35,1.47,1.4184,1.0646,118.84,140.36,117.35,0.94119,0.33572,0.30082
136.86,159.51,129.25,1.5395,1.3616,0.9079,137.86,160.51,130.25,0.89597,-0.12726,-0.12652
49.006,101.92,36.931,7.9638,5.5753,0.75409,50.007,102.92,37.931,0.83593,0.48719,0.45424
175.75,203.67,109.33,5.5052,1.3687,0.5676,176.75,201.87,110.33,0.94502,0.093984,0.074796
68.597,114.97,48.238,6.8164,3.46,0.57325,69.597,115.97,49.238,0.83562,0.40633,0.31874
126.89,172.43,98.707,6.1166,1.9745,0.67742,127.89,173.42,99.707,0.66645,0.51153,0.46335
85.386,133.19,43.705,9.7414,4.5795,0.57433,86.394,134.19,44.705,0.86673,0.37978,0.36287
116.87,165.12,100.48,5.2728,2.1328,0.75235,117.87,166.12,101.48,0.60614,0.57763,0.50159
85.217,132.69,41.461,10.743,5.1702,0.57533,86.226,133.69,42.461,0.86543,0.38717,0.39155
