181.95,189.32,201.87,0.87954,1.0828,1.2311,-2500.0,-2500.0,-2500.0,0.41457,0.31191,0.16185
188.38,195.72,207.3,0.89139,1.0794,1.211,-2500.0,-2500.0,-2500.0,0.39878,0.34111,0.2909
181.16,188.66,200.24,0.88758,1.0845,1.2219,-2500.0,-2500.0,-2500.0,0.41864,0.33772,0.27813
187.38,195.09,205.64,0.90002,1.084,1.2044,-2500.0,-2500.0,-2500.0,0.41062,0.38206,0.41471
169.91,179.11,192.05,0.86965,1.1113,1.2779,-2500.0,-2500.0,-2500.0,0.55727,0.47702,0.24391
184.24,192.92,205.87,0.87814,1.0965,1.2488,-2500.0,-2500.0,-2500.0,0.45093,0.37356,0.14301
173.14,182.38,194.56,0.8786,1.1096,1.263,-2500.0,-2500.0,-2500.0,0.50601,0.41066,0.20324
184.67,193.08,204.9,0.88796,1.0932,1.2312,-2500.0,-2500.0,-2500.0,0.43296,0.35983,0.20423
174.46,176.88,184.0,0.92409,1.028,1.1124,-2500.0,-2500.0,-2500.0,0.31812,0.46439,0.31098
178.57,181.82,188.44,0.93097,1.0368,1.1137,-2500.0,-2500.0,-2500.0,0.2921,0.4131,0.36871
174.38,176.92,183.59,0.92862,1.0294,1.1085,-2500.0,-2500.0,-2500.0,0.29473,0.48575,0.28066
178.66,182.04,187.95,0.93812,1.0382,1.1067,-2500.0,-2500.0,-2500.0,0.28993,0.42241,0.30875
160.38,172.48,185.24,0.86692,1.1571,1.3351,-2500.0,-2500.0,-2500.0,0.56253,0.41775,0.38964
171.49,184.11,197.4,0.86993,1.1527,1.3255,-2500.0,-2500.0,-2500.0,0.44938,0.33275,0.32398
157.69,169.46,180.12,0.88341,1.1617,1.3164,-2500.0,-2500.0,-2500.0,0.61307,0.51127,0.51348
173.92,185.79,196.14,0.89725,1.1413,1.272,-2500.0,-2500.0,-2500.0,0.34417,0.27999,0.33976
182.11,190.96,200.59,0.90633,1.0995,1.2133,-2500.0,-2500.0,-2500.0,0.4014,0.39894,0.40111
185.18,194.81,204.26,0.90971,1.1067,1.2167,-2500.0,-2500.0,-2500.0,0.35376,0.38249,0.41176
180.87,188.73,196.78,0.91975,1.0888,1.1838,-2500.0,-2500.0,-2500.0,0.4846,0.46446,0.40536
185.14,193.76,201.58,0.92394,1.0953,1.1855,-2500.0,-2500.0,-2500.0,0.36565,0.36772,0.339
215.66,215.85,222.18,0.94385,1.0019,1.0615,-2500.0,-2500.0,-2500.0,0.31537,0.37274,0.17992
