f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
119.39,103.9,97.9,1.0613,0.87022,0.81998,120.39,104.9,98.911,0.91086,0.96211,0.7702
139.53,138.55,138.49,1.0004,0.99296,0.99258,140.53,139.55,139.5,0.99864,0.99768,0.99429
109.58,102.19,93.861,1.0887,0.93253,0.85655,110.58,103.19,94.862,0.90857,0.92277,0.84137
92.837,81.023,72.795,1.113,0.87275,0.78412,93.833,82.023,73.822,0.99209,0.97759,0.95815
147.06,122.37,109.71,1.1154,0.83213,0.74604,148.06,123.37,110.71,0.7072,0.90624,0.43296
97.632,96.387,59.603,1.6172,0.98725,0.61048,98.632,97.387,60.84,0.85653,0.8154,0.75557
72.731,78.039,72.609,1.0748,1.073,0.99831,73.731,79.039,73.61,0.7051,0.28058,0.48158
103.54,101.11,91.738,1.1021,0.97654,0.88605,104.54,102.11,92.753,0.93618,0.64269,0.62588
54.969,58.737,72.522,0.80991,1.0685,1.3193,55.969,59.737,73.522,0.96555,0.95458,0.86648
97.097,63.952,55.3,1.1565,0.65864,0.56953,98.097,64.952,56.33,0.90684,0.97691,0.89227
103.66,100.07,101.35,0.98738,0.96539,0.97773,104.66,101.07,102.35,0.99471,0.98992,0.97728
93.753,86.82,72.644,1.1951,0.92605,0.77485,94.751,87.82,73.662,0.95982,0.65731,0.63456
84.159,59.838,46.088,1.2983,0.71101,0.54763,85.159,60.866,48.192,0.95876,0.95004,0.93011
59.936,42.466,35.04,1.2119,0.70853,0.58462,60.936,43.466,36.045,0.88383,0.9732,0.76016
48.591,32.541,16.972,1.9173,0.66968,0.34929,49.596,33.541,19.84,0.94709,0.90796,0.83442
99.257,98.908,103.68,0.95394,0.99649,1.0446,100.26,99.908,104.69,0.9961,0.99068,0.98029
59.413,61.836,67.997,0.90939,1.0408,1.1445,60.413,62.836,69.036,0.97719,0.82705,0.73232
104.62,68.341,22.503,3.037,0.65324,0.21509,105.61,69.341,28.108,0.96745,0.76963,0.73535
82.428,66.401,57.339,1.158,0.80556,0.69563,83.428,67.401,58.411,0.99184,0.95187,0.92249
98.133,75.429,55.402,1.3615,0.76865,0.56456,99.118,76.425,58.183,0.97743,0.96968,0.91924
69.324,43.086,24.664,1.7469,0.62151,0.35578,70.324,44.089,26.618,0.97053,0.97404,0.93308
102.78,105.24,30.159,3.4893,1.0239,0.29344,103.78,106.24,32.078,0.93027,0.85836,0.8483
106.76,118.61,31.341,3.7845,1.111,0.29357,107.76,119.61,36.564,0.97999,0.61761,0.65015
148.42,127.52,89.651,1.4224,0.85917,0.60403,149.42,128.52,90.655,0.90506,0.63934,0.69252
120.87,107.47,90.766,1.184,0.88917,0.75097,121.87,108.47,91.772,0.93568,0.77892,0.57473
158.16,136.38,120.34,1.1333,0.86227,0.76087,159.16,137.38,121.34,0.97136,0.97621,0.92893
