f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
190.89,165.62,154.57,1.0715,0.86766,0.80974,191.89,166.62,155.57,0.67593,0.94567,0.67225
218.28,171.75,144.34,1.1899,0.78681,0.66124,219.28,172.75,145.36,0.87783,0.90865,0.8022
148.31,116.62,92.969,1.2544,0.7863,0.62684,149.31,117.62,93.998,0.73536,0.80032,0.80639
145.2,136.56,129.22,1.0568,0.94048,0.88997,146.2,137.56,130.22,0.90591,0.96088,0.79817
105.5,106.14,55.059,1.9278,1.006,0.52187,106.5,107.14,56.201,0.95438,0.85885,0.92815
142.11,130.16,81.635,1.5944,0.91596,0.57447,143.11,131.16,82.843,0.83886,0.84347,0.90886
101.59,84.265,47.784,1.7635,0.82949,0.47038,102.59,85.265,48.912,0.84281,0.79677,0.91089
142.65,142.36,140.74,1.0115,0.99799,0.98663,143.65,143.36,141.74,0.98693,0.99561,0.97938
123.68,124.32,115.76,1.0739,1.0052,0.93602,124.68,125.32,116.77,0.98934,0.98366,0.97029
104.15,100.7,88.565,1.137,0.96688,0.8504,105.15,101.7,89.566,0.99427,0.99078,0.97969
132.29,135.49,132.27,1.0243,1.0242,0.99982,133.29,136.49,133.27,0.98461,0.98695,0.97936
