,0.75075,NaN,0.91593,NaN
,0.76445,NaN,0.95075,NaN
,0.74846,NaN,0.94327,NaN
,0.75702,NaN,0.93732,NaN
,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN
,0.83256,0.90145,0.81216,0.86043
,0.84102,0.89444,0.80203,0.84985
,0.87202,0.83198,0.88044,0.82685
,0.90594,0.59933,0.94049,0.77146
,0.91273,0.61399,0.95967,0.74361
,0.73876,0.42707,0.85617,0.50579
,0.70764,0.43967,0.79633,0.56572
,0.75413,0.84633,0.76114,0.84522
,0.49875,0.57909,0.42657,0.39416
,0.23523,0.17596,0.13257,0.16276
,0.89122,0.87498,0.83295,0.8112
,0.8259,0.86665,0.85049,0.88345
,0.39852,0.42649,0.32701,0.31657
,0.57423,0.63285,0.53082,0.65031
,0.19479,0.2428,0.10692,0.30157
,0.194,0.17869,0.23253,0.13528
,0.3375,0.6139,0.30364,0.56041
,0.77446,0.59033,0.76755,0.56944
,0.71529,NaN,0.93218,NaN
,0.53404,0.51847,0.98284,0.70676
,0.48601,0.35265,0.99464,0.7365
,0.56284,0.5529,0.53577,0.48718
,0.84492,0.82168,0.8409,0.82864
,0.87926,0.85114,0.86029,0.8083
,0.4623,0.5478,0.50191,0.43063
,0.63397,0.7273,0.48283,0.48944
,NaN,NaN,0.93619,0.94417
,0.85312,0.90744,0.83739,0.92754
,0.45184,0.59508,0.49919,0.53323
,0.79027,0.5472,0.87306,0.056147
,0.31206,0.74652,0.54835,0.77936
,0.63527,0.75174,NaN,0.72303
,0.82206,0.85864,0.87903,0.90579
,0.64615,0.6858,0.87258,0.74495
,0.73716,0.61449,0.5584,0.62508
,0.809,0.84894,0.65708,0.63721
,0.82575,0.84258,0.89196,0.88869
,0.66072,0.46074,0.81817,0.44082
,0.93848,0.93968,0.94527,0.94621
,0.94085,0.94233,0.94889,0.94629
,0.98021,0.97876,0.97806,0.97796
,0.99372,0.98717,0.99532,0.98814
