f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
148.11,119.48,83.297,2.2016,0.64832,0.31891,149.11,120.48,84.297,0.9219,0.96904,0.92311
166.97,128.67,85.695,2.2797,0.59384,0.2632,167.97,129.67,86.695,0.88939,0.96627,0.90062
186.31,163.03,127.64,2.0949,0.76521,0.4755,187.31,164.03,128.64,0.98162,0.91255,0.91167
187.07,162.74,139.32,1.3702,0.75568,0.55319,188.07,163.74,140.32,0.98503,0.9876,0.97468
166.36,133.28,100.18,1.7937,0.64017,0.36057,167.36,134.28,101.18,0.98023,0.98905,0.95783
181.25,151.52,121.07,1.591,0.69866,0.44342,182.25,152.52,122.07,0.98868,0.99164,0.97631
131.16,181.92,185.92,0.95898,2.1851,2.2687,132.16,182.92,186.92,0.83773,0.97803,0.82654
168.61,202.44,208.07,0.94682,1.4586,1.5405,169.61,203.44,209.07,0.5901,0.82309,0.53149
159.08,195.92,202.52,0.93593,1.517,1.6209,160.08,196.92,203.52,0.32284,0.98528,0.31101
162.76,200.26,207.63,0.93026,1.5138,1.6273,163.76,201.26,208.63,0.32978,0.98045,0.3702
114.74,104.82,94.74,1.2565,0.83406,0.68738,115.74,105.82,95.744,0.87234,0.94198,0.81505
140.31,134.27,128.8,1.1002,0.91929,0.85382,141.31,135.28,129.82,0.85317,0.92688,0.76013
118.48,116.01,112.2,1.07,0.95809,0.89594,119.48,117.01,113.2,0.77567,0.89975,0.75021
129.52,122.56,115.44,1.193,0.88824,0.79097,130.52,123.56,116.44,0.98575,0.98402,0.96276
203.45,185.25,166.76,1.2342,0.82905,0.67181,204.45,186.25,167.76,0.98089,0.98383,0.96601
209.89,194.33,174.91,1.2354,0.8572,0.69415,210.89,195.33,175.91,0.92329,0.94095,0.86551
204.58,186.63,167.83,1.2368,0.83214,0.67289,205.58,187.63,168.83,0.98274,0.98674,0.96946
207.72,189.73,171.42,1.2251,0.8343,0.68102,208.72,190.73,172.42,0.98111,0.98712,0.97264
114.49,112.4,59.42,4.22,0.99572,0.26112,115.48,113.4,60.433,0.97005,0.92238,0.94693
156.97,152.5,79.798,4.3034,0.98021,0.25045,157.96,153.5,80.798,0.92378,0.91471,0.92247
113.25,125.68,45.986,7.607,1.2343,0.16492,114.25,126.68,46.986,0.93078,0.8795,0.93312
164.88,145.97,88.766,3.5209,0.81895,0.27904,165.87,146.97,89.768,0.89741,0.95451,0.90111
138.37,120.84,75.908,2.6,0.75328,0.31768,139.36,121.84,76.932,0.8823,0.89042,0.86242
157.6,147.98,80.761,3.7013,0.90853,0.25526,158.6,148.98,81.764,0.85498,0.84477,0.83596
194.3,176.93,85.286,4.3271,0.82882,0.19316,195.29,177.93,86.288,0.67456,0.4765,-0.10087
209.32,187.21,103.99,3.2931,0.8004,0.24739,210.3,188.2,104.99,0.69967,0.53466,-0.020586
158.03,132.68,99.466,1.9678,0.70763,0.41764,158.95,133.62,100.47,0.91814,0.8791,0.821
149.05,97.361,80.583,1.4587,0.42397,0.29696,150.05,98.361,81.583,0.84913,0.83436,0.75923
150.11,128,73.898,3.0771,0.72701,0.24294,151.11,129,74.898,0.92048,0.91438,0.88403
164.04,126.17,92.934,1.7533,0.56603,0.31515,165.04,127.17,93.934,0.79913,0.89733,0.67995
207.58,202.36,166.49,1.7642,0.95859,0.64062,207.71,203.28,167.48,0.96805,0.95968,0.95867
161.82,160.68,102.07,2.7562,1.032,0.39258,162.8,161.68,103.07,0.95281,0.90039,0.89969
189.58,189.12,115.3,2.7755,1.0022,0.37101,190.48,190.1,116.3,0.90313,0.91885,0.91816
203.1,194.31,129.65,2.2475,0.91559,0.40777,204.08,195.31,130.65,0.90976,0.9222,0.95774
70.203,57.192,44.199,1.8141,0.63758,0.36421,71.198,58.192,45.2,0.9879,0.984,0.97321
214.55,197.18,179.29,1.2224,0.83956,0.69151,215.51,198.18,180.29,0.97712,0.9814,0.95872
64.013,52.155,40.012,1.7179,0.65773,0.38572,64.995,53.155,41.012,0.98616,0.98569,0.97226
192.11,173.08,148.98,1.3988,0.80851,0.58684,193.08,174.08,149.98,0.96579,0.97651,0.94571
96.069,72.712,42.467,6.149,0.59632,0.20397,97.069,73.712,43.593,0.92979,0.72845,0.78121
92.793,75.162,41.648,4.8481,0.68276,0.19008,93.793,76.162,42.786,0.90564,0.84081,0.86009
87.851,65.651,17.757,14.095,0.56983,0.041275,88.851,66.651,19.118,0.95596,0.49829,0.48125
87.066,67.576,24.285,8.3477,0.60867,0.077255,88.066,68.576,25.549,0.92129,0.79712,0.7917
104.55,110.22,61.895,4.5311,1.1372,0.35255,105.34,111.15,63.08,0.96578,0.88672,0.91967
91.67,100.06,36.099,8.1667,1.2362,0.15477,92.67,101.06,37.35,0.92568,0.8582,0.88053
134.9,130.48,87.928,2.3331,0.93971,0.42862,135.9,131.48,88.931,0.96162,0.90163,0.90535
95.266,97.532,41.005,6.3188,1.069,0.1844,96.266,98.532,42.215,0.91419,0.83878,0.8681
172.64,176.27,91.464,4.7417,1.0715,0.26747,173.64,177.27,92.464,0.94766,0.92696,0.94208
142.17,149.71,67.021,5.8853,1.1362,0.21234,143.17,150.71,68.021,0.97493,0.94658,0.9477
84.941,102.01,29.196,12.249,1.4461,0.11819,85.941,103.01,30.196,0.9403,0.89753,0.89729
78.556,95.138,30.709,9.7672,1.4725,0.15233,79.556,96.138,31.709,0.88117,0.8266,0.80941
134.02,116.59,107.06,1.1969,0.76574,0.63983,135.02,117.59,108.06,0.95495,0.96195,0.9471
123.65,112.27,101.6,1.2526,0.8502,0.6798,124.65,113.27,102.6,0.94538,0.94766,0.92785
122.74,115.13,102.5,1.262,0.87993,0.69743,123.74,116.13,103.5,0.95892,0.9574,0.94855
116.6,110.34,97.119,1.3073,0.90461,0.69562,117.6,111.34,98.119,0.96488,0.96291,0.94265
79.616,87.556,34.909,7.4862,1.2637,0.21263,80.63,88.563,36.333,0.98307,0.88867,0.90235
41.673,51.491,20.85,5.3996,1.4484,0.32937,42.732,52.526,22.109,0.97204,0.84039,0.8792
140.92,149.47,62.828,5.782,1.1259,0.19772,141.92,150.47,63.835,0.98759,0.9495,0.95668
98.012,115.51,35.925,13.121,1.4356,0.13496,99.012,116.51,36.925,0.94531,0.67947,0.7538
61.459,51.548,30.549,3.4779,0.79681,0.24824,62.459,52.548,31.561,0.79563,0.77917,0.88453
59.288,73.89,26.381,8.9521,1.6047,0.20106,60.288,74.89,27.423,0.86268,0.77941,0.83622
47.841,31.127,28.318,1.1069,0.3713,0.32329,48.841,32.127,29.334,0.90623,0.96659,0.91099
51.324,51.764,24.055,5.7941,1.1083,0.22434,52.324,52.764,25.101,0.64526,0.53444,0.852
96.515,111.72,36.958,9.903,1.3576,0.14285,97.515,112.72,37.986,0.9293,0.81659,0.82813
99.86,112.6,35.967,10.015,1.264,0.128,100.86,113.6,36.987,0.90751,0.79766,0.80316
111.94,132.94,43.868,9.3872,1.4226,0.15304,112.94,133.94,44.893,0.9652,0.86022,0.85817
106.8,123.13,38.895,10.351,1.3353,0.13153,107.8,124.13,39.971,0.90488,0.80846,0.81697
76.467,89.426,20.552,21.71,1.455,0.070432,77.467,90.426,21.82,0.96284,0.76035,0.77961
70.432,82.484,19.658,20.28,1.4909,0.076193,71.432,83.484,20.832,0.95917,0.73489,0.75803
42.544,59.185,11.409,27.239,1.9374,0.072072,43.544,60.185,12.612,0.93752,0.66784,0.74031
43.967,60.974,12.43,24.428,1.9278,0.080562,44.967,61.974,13.712,0.96917,0.71085,0.75676
71.898,93.557,36.666,6.5736,1.7031,0.26188,72.898,94.557,37.732,0.9395,0.80625,0.8307
80.442,101.14,39.689,6.5842,1.5877,0.24579,81.442,102.14,40.745,0.91367,0.78859,0.82977
75.082,95.611,37.679,6.5013,1.6298,0.25484,76.082,96.611,38.829,0.94096,0.81648,0.86635
84.406,101.88,37.641,7.4692,1.4693,0.19849,85.406,102.88,38.736,0.77645,0.69089,0.80998
151.4,136.12,124.69,1.1961,0.8106,0.68477,152.4,137.12,125.69,0.90885,0.90762,0.84797
153.05,137.16,126.08,1.1889,0.80398,0.68182,154.05,138.16,127.08,0.90191,0.90354,0.84578
149.13,135.69,126.19,1.1561,0.82794,0.71616,150.13,136.69,127.19,0.9233,0.92267,0.89822
143.25,129.21,120.01,1.1591,0.81349,0.702,144.25,130.21,121.01,0.9909,0.98958,0.97901
177.2,147.17,121.61,1.5314,0.70896,0.51594,178.18,148.17,122.61,0.8603,0.77391,0.62757
174.1,146.83,125.12,1.427,0.72622,0.55257,175.09,147.83,126.12,0.86512,0.77929,0.64199
159.63,144.38,133.69,1.1663,0.81817,0.70151,160.63,145.38,134.69,0.78767,0.74929,0.69396
163.05,146.58,135.92,1.1631,0.80822,0.6949,164.05,147.58,136.92,0.85744,0.78248,0.76531
161.71,131.89,110.9,1.5116,0.65243,0.45937,162.71,132.89,111.91,0.97643,0.98182,0.96086
173.15,146.85,128.03,1.3545,0.70916,0.53867,174.15,147.85,129.03,0.98283,0.98849,0.97558
