f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
156.9,132.41,93.118,2.118,0.7117,0.34915,157.85,133.41,94.229,0.94869,0.96985,0.92243
170.65,137.73,93.495,2.1757,0.65162,0.30013,171.65,138.73,94.519,0.92421,0.95862,0.87669
201.81,177.12,136.53,1.8489,0.77111,0.46362,202.69,178.12,137.53,0.94614,0.904,0.81673
199.87,175.31,143.94,1.4848,0.76961,0.51876,200.82,176.31,144.94,0.94616,0.9621,0.85566
188.95,152.25,111.84,1.8654,0.64833,0.34909,189.18,153.25,112.86,0.97123,0.98446,0.93522
209.73,175.36,137.57,1.6274,0.69945,0.43038,210.16,176.36,138.64,0.97246,0.98061,0.92177
161.67,208.21,204.15,1.0431,1.7627,1.6791,162.67,209.21,205.15,0.79442,0.96783,0.78819
189.54,222.39,220.59,1.0167,1.3841,1.3608,190.54,223.39,221.59,0.4332,0.84905,0.39474
182.91,215.01,214.17,1.0079,1.3819,1.3711,183.91,216.01,215.17,0.36669,0.96292,0.26299
184.37,216.83,216.2,1.0058,1.383,1.3751,185.37,217.83,217.2,-0.13343,0.95915,-0.2652
119.34,111.87,108.37,1.0813,0.87909,0.82749,120.34,112.87,109.37,0.82552,0.93105,0.78664
137.88,130.72,129.53,1.0299,0.89982,0.88776,138.88,131.72,130.52,0.78874,0.9272,0.71171
119.78,116.16,117.25,0.98341,0.93986,0.9567,120.78,117.16,118.25,0.83316,0.93557,0.80461
126.05,116.51,113.31,1.1143,0.84384,0.79637,127.05,117.51,114.26,0.98946,0.98454,0.95984
187.26,174.34,157.67,1.2226,0.86689,0.70912,188.26,175.34,158.67,0.96613,0.97792,0.91251
190.56,178.09,160.05,1.2381,0.87385,0.70576,191.54,179.09,161.05,0.93575,0.96708,0.86929
191.59,176.92,158.71,1.2428,0.85276,0.6862,192.59,177.92,159.71,0.94726,0.9694,0.86641
191.54,176.49,158.04,1.2472,0.84903,0.68078,192.54,177.49,159.04,0.93968,0.96557,0.84847
130.5,131.56,72.298,3.5004,1.044,0.30866,131.48,132.56,73.355,0.96027,0.9234,0.91289
167.06,165.51,89.161,3.7095,1.0186,0.2811,167.85,166.5,90.171,0.9155,0.92078,0.87701
133.7,149.73,65.068,5.355,1.2569,0.23653,134.69,150.73,66.071,0.93583,0.92195,0.91781
180.59,161.74,101.29,2.818,0.83999,0.30987,181.07,162.74,102.29,0.86118,0.94755,0.84324
123.55,120.58,77.165,2.4822,0.96494,0.41402,124.54,121.58,78.166,0.87024,0.90791,0.86456
138.39,142.76,84.6,2.9437,1.1081,0.37685,139.37,143.75,85.602,0.8835,0.88735,0.87695
169.62,172.7,97.911,3.1429,1.0398,0.33275,170.62,173.7,98.911,0.80004,0.84542,0.81895
187.19,179.75,115.8,2.4124,0.92368,0.38295,188.18,180.75,116.8,0.85195,0.90167,0.82842
186.38,152.73,121.39,1.6369,0.67824,0.43803,187.32,153.72,122.39,0.87214,0.8882,0.76676
175.58,107,94.485,1.2798,0.3733,0.29096,176.56,108,95.484,0.77954,0.79484,0.67017
193.63,186.64,124.36,2.2661,0.9339,0.4124,194.63,187.64,125.37,0.85233,0.86693,0.63749
185.58,133.6,110.63,1.4092,0.50961,0.34984,186.55,134.6,111.62,0.74235,0.83556,0.50586
196.6,194.18,146.38,2.1073,0.99259,0.5497,195.63,193.97,147.32,0.94476,0.939,0.89717
153.53,156.94,93.861,2.9764,1.101,0.37436,154.52,157.94,94.866,0.93616,0.90061,0.86647
182.63,184.1,104.19,3.1769,1.023,0.32481,183.57,185.09,105.19,0.88198,0.91078,0.85362
186.29,185.7,113.06,2.7083,0.9964,0.36833,187.26,186.69,114.08,0.91091,0.91866,0.86957
99.626,88.38,77.082,1.3665,0.79553,0.58602,100.01,89.381,78.097,0.97075,0.9844,0.94252
225.33,204.27,189.72,1.162,0.82138,0.70848,225.38,205.27,190.72,0.95567,0.97947,0.91617
85.733,77.18,66.839,1.338,0.81939,0.61276,86.064,78.184,67.906,0.96304,0.98352,0.93464
207.16,183.19,163.7,1.2821,0.78143,0.61596,207.64,184.19,164.7,0.94063,0.96561,0.88013
120.7,98.032,69.869,2.2798,0.66964,0.33489,121.7,99.032,70.87,0.86731,0.80443,0.79146
85.387,79.033,48.879,2.867,0.89566,0.328,86.387,80.033,49.882,0.92315,0.90598,0.88115
105.35,88.445,38.707,5.6212,0.71368,0.1378,106.35,89.445,39.714,0.91926,0.67769,0.70198
76.523,73.865,36.47,4.2362,0.95075,0.2345,77.523,74.865,37.472,0.90015,0.8634,0.81757
108.85,128.9,74.172,3.5066,1.4402,0.46165,109.59,129.64,74.999,0.95555,0.9119,0.90768
95.474,114.74,54.662,4.5203,1.4805,0.32953,96.474,115.74,55.719,0.94239,0.88278,0.89217
124.63,139.77,92.88,2.4001,1.2605,0.55525,125.62,140.76,93.9,0.94966,0.89993,0.87968
97.054,106.38,58.013,3.5434,1.2327,0.35548,98.054,107.38,59.04,0.90404,0.89595,0.86514
169,178.16,95.65,3.7311,1.1333,0.31428,170,179.16,96.65,0.93561,0.90655,0.87826
142.41,156.5,76.624,4.3796,1.2278,0.28545,143.41,157.5,77.624,0.96164,0.91878,0.88914
102.6,123.46,50.198,6.0524,1.4485,0.23939,103.6,124.46,51.198,0.93938,0.88916,0.88193
92.143,112.34,47.898,5.5522,1.4918,0.26981,93.143,113.34,48.898,0.91636,0.82498,0.79823
180.19,168.49,167.97,1.0075,0.87936,0.87167,181.18,169.49,168.97,0.94891,0.97615,0.92341
150.78,158.3,141.68,1.5271,1.2287,0.87103,151.81,159.23,142.1,0.94321,0.92549,0.92053
163.7,162.62,159.87,1.0347,0.98687,0.95379,164.7,163.62,160.87,0.96838,0.97694,0.93123
115.84,140.83,105.43,2.2899,1.6543,0.8084,116.91,141.7,105.82,0.9433,0.90274,0.90603
128.38,152.34,78.211,3.9438,1.4455,0.37105,129.38,153.34,79.211,0.95487,0.85665,0.85232
113.7,137.94,74.515,3.501,1.5338,0.45638,114.7,138.94,75.515,0.95328,0.85693,0.87693
133.23,159.47,78.829,4.1105,1.438,0.35185,134.23,160.47,79.829,0.91689,0.8388,0.83152
118.46,140.33,71.692,3.8541,1.4077,0.36581,119.46,141.33,72.692,0.90523,0.86129,0.88057
77.46,70.187,50.397,2.1682,0.89852,0.42454,78.46,71.187,51.398,0.84002,0.86183,0.89799
70.618,89.249,45.097,4.0804,1.6249,0.4092,71.618,90.249,46.122,0.9256,0.88451,0.90998
54.882,36.957,38.074,0.93352,0.44935,0.47797,55.882,37.957,39.074,0.91731,0.98605,0.90905
